CoVIC ID,Isotype,Epitope Community (RBD),ADNKA_CD107a,ADNKA_MIP-1b,ADCP,ADNP,ADCD,mADCP,mADNP
7,IgG1,6,2,1,2,2,1,2,2
9,IgG1,2,2,1,1,1,1,1,2
10,IgG1,2,1,1,1,1,1,1,1
11,IgG1,2,2,1,1,1,1,2,2
12,IgG1,2,2,1,1,1,1,3,3
13,IgG1,2,2,2,1,1,1,1,3
20,IgG1,,2,3,3,2,3,2,3
21,IgG1,7,2,1,3,2,2,2,2
23,IgG1,5,2,1,3,2,2,2,1
28,IgG1,6,2,2,3,2,1,2,3
30,IgG1,2,2,2,3,3,2,3,2
32,IgG1,2,2,1,3,3,2,3,2
33,IgG1,,2,2,3,1,1,1,1
34,IgG1,,2,3,2,1,1,2,1
36,IgG1,,2,1,2,1,1,2,1
39,IgG,2,2,2,3,3,2,3,3
40,IgG,2,2,2,3,3,1,2,3
42,IgG1,2,2,2,3,3,2,2,2
43,IgG4,2,2,2,3,2,1,1,1
44,IgG1,2,2,1,3,2,1,2,2
45,IgG4,2,2,1,2,2,1,1,1
49,IgG4,2,1,1,2,2,1,2,1
53,IgG1,,2,2,2,1,1,1,3
55,IgG1,7,2,3,3,2,2,2,3
56,IgG1,7,2,2,3,2,1,1,3
62,IgG1,7,2,2,2,2,1,3,3
67,IgG1,2,2,2,3,2,1,1,3
68,IgG1,2,2,3,3,3,2,3,3
74,IgG1,3,2,3,3,2,1,3,1
78,IgG1,5,2,2,3,2,1,1,3
81,IgG1,3,2,1,3,2,1,2,2
83,,7,2,2,3,2,1,1,2
91,IgG1,4,2,2,3,3,2,1,3
93,IgG2,1,2,2,2,3,1,1,3
94,IgG1,4,1,1,2,1,1,2,1
95,IgG1,4,2,2,3,1,1,2,1
96,IgG1,5,2,3,2,1,1,1,2
98,IgG1,3,3,2,3,1,1,2,3
99,IgG1,2,2,2,3,2,1,2,2
100,IgG1,2,2,3,3,2,1,3,2
101,IgG1,4,3,3,3,1,1,2,2
102,,2,1,1,1,1,1,1,1
106,IgG1,2,1,1,2,2,1,3,1
107,IgG1,2,2,2,3,2,1,3,2
108,IgG1,2,2,2,3,2,1,3,3
111,IgG1,2,3,3,3,2,1,2,3
112,IgG1,2,3,3,2,2,1,3,3
116,IgG1,5,1,2,2,3,1,2,3
117,IgG1,4,3,2,2,2,2,1,1
118,IgG1,,2,2,2,2,1,3,1
124,,7,1,1,1,1,1,1,1
127,IgG1,7,3,2,3,1,2,2,2
128,IgG1,7,3,2,3,1,1,2,1
129,,7,1,1,1,1,1,1,2
132,IgG,,1,1,2,2,2,2,2
134,IgG,5,2,2,3,2,1,3,3
135,IgG,,1,1,1,2,1,1,3
136,IgG,2,2,2,3,2,1,2,3
137,IgG,,1,1,2,2,1,1,2
140,IgG,2,3,3,3,2,1,2,3
142,IgG,2,2,2,3,2,1,2,3
143,IgG,1,2,2,3,1,1,2,2
145,IgG1,7,1,1,2,2,2,1,1
147,IgG1,2,2,2,3,2,1,3,3
148,IgG1,2,3,3,3,2,1,3,3
149,IgG1,5,3,2,3,2,1,3,3
150,IgG1,2,1,2,3,2,1,1,3
153,IgG1,2,2,3,3,1,1,2,3
154,IgG1,,1,1,2,1,1,2,3
155,IgG1,2,3,3,3,1,1,3,2
156,IgG1,2,2,2,3,1,2,3,2
158,IgG1,2,2,3,3,2,1,3,3
159,IgG1,2,2,2,3,2,1,2,1
160,IgG1,2,2,3,3,2,2,3,3
161,IgG1,,1,1,3,2,1,1,2
163,IgG1,2,2,2,3,2,1,1,2
164,IgG1,2,3,2,3,2,1,2,3
167,IgG1,2,3,3,3,1,1,3,3
168,IgG1,2,1,2,3,2,2,3,1
169,IgG1,2,1,2,3,2,2,3,1
171,IgG1,,2,2,2,2,1,2,3
173,IgG1,,1,2,3,2,1,1,2
179,IgG,2,1,1,3,2,1,2,2
180,IgG,1,1,1,2,1,1,2,1
181,IgG1,5,2,2,3,2,2,3,2
182,IgG1,2,2,2,3,2,1,3,3
183,IgG,2,3,3,3,2,3,3,3
184,IgG,,2,3,3,2,1,2,2
185,IgG,2,1,1,2,2,1,1,2
186,IgG,1,2,3,3,2,1,2,2
195,IgG,,2,2,2,2,2,3,3
196,IgG,,1,1,3,2,1,3,1
197,IgG,,3,3,3,2,1,2,3
198,IgG,,2,2,3,2,1,2,3
199,IgG,1,2,2,3,2,1,3,1
204,IgG1,2,2,2,3,3,2,3,2
205,IgG1,2,2,2,3,3,2,2,3
206,IgG1,,2,2,2,2,1,1,2
207,IgG1,,2,2,2,2,1,1,1
211,IgG1,2,2,1,3,2,1,3,2
212,IgG1,7,2,1,2,3,1,3,2
213,IgG1,3,2,2,3,3,1,2,3
214,IgG1,6,2,2,2,3,1,2,3
215,IgG1,4,2,2,3,3,1,1,3
217,IgG1,,3,3,3,3,3,2,3
218,IgG1,,3,3,3,3,2,3,3
221,IgG1,,2,2,2,2,1,1,2
223,IgG1,,2,2,2,2,1,2,3
231,IgG1,2,2,3,3,3,2,1,3
235,IgG1,,2,1,2,3,2,2,3
236,IgG1,,2,2,3,3,3,3,3
237,IgG1,,2,2,2,2,1,3,2
241,IgG1,7,1,1,1,2,1,1,3
242,IgG1,7,1,1,1,1,1,1,2
243,IgG1,7,1,1,2,1,1,2,1
244,IgG1,7,1,1,1,1,1,2,2
245,IgG1,,1,1,2,1,1,2,2
246,IgG1,,1,1,3,2,1,3,3
249,IgG1,2,1,1,3,2,1,2,3
250,IgG1,6,2,2,2,2,1,2,3
251,IgG1,5,1,1,3,2,1,3,2
252,IgG1,2,1,2,3,3,1,2,2
254,IgG1,,2,2,3,2,1,2,2
255,IgG1,,1,2,3,2,1,1,1
256,IgG1,,1,1,3,2,1,1,1
257,IgG1,,2,2,3,2,1,2,1
259,IgG1,1,2,2,3,2,1,2,2
266,IgG1,2,2,2,3,3,1,3,1
267,IgG1,2,2,2,2,2,1,2,3
269,IgG1,2,2,2,1,2,1,1,1
270,IgG1,,2,2,3,2,1,3,2
273,IgG1,,1,1,2,1,1,1,2
274,IgG1,,1,1,2,1,1,1,2
275,IgG2b,,1,1,2,2,2,2,2
276,IgG2b,,1,1,2,2,2,2,3
278,IgG1,,1,1,2,3,1,1,3
279,IgG1,,1,1,2,2,1,1,3
280,IgG1,,1,1,2,2,1,1,3
288,IgG1,,2,2,3,2,1,1,3
289,IgG1,,1,1,2,2,1,2,2
290,IgG1,,2,1,3,3,1,3,3
291,IgG1,,2,2,3,2,2,2,3
298,IgG1,,1,1,3,3,2,2,1
301,IgG1,,1,1,3,3,1,2,1
310,IgG1,,3,3,2,3,2,2,1
311,IgG1,,3,3,2,3,2,2,1
312,IgG1,,3,3,2,2,2,2,2
313,IgG1,,3,3,3,2,2,2,3
320,IgG1,,3,3,3,2,1,2,1
321,IgG1,,2,2,2,1,1,1,1
339,IgG1,,3,3,1,2,1,1,2
341,IgG1,,2,2,1,2,1,1,2
342,IgG1,,2,2,1,1,1,1,2
351,IgG1,,1,1,3,3,1,2,1